Créditeur,Date,Montant EUR,Raison,Commentaire
Ministère de la culture et de la communication,24/03/2014,7000,Partenariat Calculateur Domaine Public,1e partie de la subvention
Ministère de la culture et de la communication,22/04/2014,3000,Partenariat Calculateur Domaine Public,2nd partie de la subvention
Ministère de la culture et de la communication,14/08/2014,3000,Partenariat Calculateur Domaine Public,3ième et dernière facture
Open Knowledge International,11/08/2015,"7 426,37",SCODA Grant,
